Name,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9
DH_EVAL_0160,29,4058,5968,10,5859,31803,4,1499,13261
DH_EVAL_0161,104,6141,1864,18,14595,23501,6,3387,11082
DH_EVAL_0162,2163,1528,40,185,46417,2058,1,2236,5361
DH_EVAL_0163,11314,1652,62,481,15476,225,4,820,35
DH_EVAL_0164,171,3560,945,136,17317,29117,30,2952,8441
DH_EVAL_0165,18040,1606,3,182,12016,144,0,0,0
DH_EVAL_0166,385,1032,606,159,11798,9332,6,927,6378
DH_EVAL_0167,9040,2014,4,581,19220,131,0,522,11
DH_EVAL_0168,2530,2654,59,315,47311,2207,0,1905,3008
DH_EVAL_0169,17334,1880,2,1021,39022,448,0,496,307
DH_EVAL_0170,12003,1260,3,2211,39791,2317,19,1667,1742
DH_EVAL_0171,4374,5114,275,364,34422,6838,0,1613,7344
DH_EVAL_0172,15641,1309,0,284,17263,8,0,83,121
DH_EVAL_0173,638,3500,1241,129,13853,26564,1,3778,14886
DH_EVAL_0174,13755,1669,3,997,41894,350,44,1404,628
DH_EVAL_0175,6438,2125,0,297,51378,78,0,429,52
DH_EVAL_0176,6351,2386,0,315,50950,77,0,926,358
DH_EVAL_0177,5702,1721,17,336,22440,434,0,474,198
DH_EVAL_0178,405,1658,152,149,2913,2460,0,705,3916
DH_EVAL_0179,4565,1736,20,455,45140,1201,11,2457,4408
DH_EVAL_0180,9992,1843,7,300,28847,164,0,251,162
DH_EVAL_0181,11210,3395,16,2663,39682,1323,56,2140,1629
DH_EVAL_0182,2641,2863,219,287,45277,3715,0,1583,3408
DH_EVAL_0183,6017,4335,146,237,21230,3462,6,609,527
DH_EVAL_0184,6085,3068,356,1031,43196,1818,0,2730,1705
DH_EVAL_0185,3049,2229,343,358,44216,3237,0,2990,3558
DH_EVAL_0186,8907,3913,440,551,30668,7061,11,2896,5281
DH_EVAL_0187,8383,1068,26,979,48597,1199,0,102,88
DH_EVAL_0188,5896,1935,24,362,50368,1907,0,43,277
DH_EVAL_0189,14427,2010,0,436,14660,120,1,243,6
DH_EVAL_0190,8371,1356,33,1214,19896,377,1,961,174
DH_EVAL_0191,7012,2568,0,727,24628,410,2,1642,412
DH_EVAL_0192,7871,965,77,550,20729,54,0,667,26
DH_EVAL_0193,3938,1279,43,379,47330,1504,7,1102,4407
DH_EVAL_0194,82,4842,1545,35,14849,20990,0,3272,14381
DH_EVAL_0195,15366,342,1,949,43544,293,0,0,0
DH_EVAL_0196,8234,1812,3,374,49499,100,0,886,201
DH_EVAL_0197,7440,1514,0,488,19862,388,1,812,338
DH_EVAL_0198,5167,1894,84,650,40402,4649,54,2145,4948
DH_EVAL_0199,3239,992,36,3946,11048,93,127,2251,37
DH_EVAL_0200,11727,3730,13,244,45915,357,0,0,0
DH_EVAL_0201,8364,2186,6,278,47397,328,4,1881,996
DH_EVAL_0202,13254,801,0,515,46332,36,0,0,0
DH_EVAL_0203,20163,2934,8,764,54139,308,0,1078,1150
DH_EVAL_0204,9509,1297,58,935,18795,1041,0,214,162
DH_EVAL_0205,13445,896,0,590,16025,56,0,90,23
DH_EVAL_0206,3201,5491,201,524,31746,7036,1,2676,10310
DH_EVAL_0207,7308,681,20,1490,21177,114,3,174,2
DH_EVAL_0208,9331,3265,198,770,20359,1720,9,308,303
DH_EVAL_0209,2033,2859,6222,6,5289,8079,0,43,1016
DH_EVAL_0210,633,2899,1949,64,1706,1067,0,109,47
DH_EVAL_0211,8980,1686,2,858,43921,1319,8,1823,1775
DH_EVAL_0212,8492,1286,19,1070,19021,30,0,728,4
DH_EVAL_0213,3610,2886,22,523,44158,2340,9,3031,3410
DH_EVAL_0214,4583,1363,1,1197,36510,2774,102,6595,8012
DH_EVAL_0215,13807,2840,4,598,41560,1659,4,479,240
